Unnamed: 0.1,Unnamed: 0,arch,encoder_name,encoder_weights,in_channels,classes,optimizer,lr,weight_decay,epochs,test_iou,test_dice
0.0,0.0,UnetPlusPlus,resnet34,imagenet,1,1,Adam,0.0005,1e-05,50,0.56178117,0.71941084
1.0,1.0,UnetPlusPlus,resnet34,imagenet,1,1,Adam,0.001,1e-05,50,0.52498674,0.68851316
2.0,2.0,DeepLabV3Plus,resnet34,imagenet,1,1,Adam,0.001,5e-06,50,0.5569811,0.71546286
3.0,3.0,DeepLabV3Plus,resnet34,imagenet,1,1,Adam,0.0001,5e-06,50,0.666148,0.79962647
4.0,4.0,DeepLabV3Plus,resnet34,imagenet,1,1,Adam,0.0001,5e-06,100,0.7035471,0.82597905
5.0,5.0,DeepLabV3Plus,resnet50,imagenet,1,1,Adam,5e-05,5e-06,50,0.6833047,0.81186104
6.0,6.0,DeepLabV3Plus,tu-xception65,imagenet,1,1,Adam,5e-05,5e-06,50,0.5830166,0.7365893
7.0,7.0,PAN,resnet34,imagenet,1,1,Adam,5e-05,5e-06,50,0.6287567,0.7720695
8.0,8.0,PAN,resnet34,imagenet,1,1,Adam,1e-05,5e-06,50,0.39839655,0.56979054
9.0,9.0,DeepLabV3Plus,resnet34,imagenet,1,1,Adam,0.0005,5e-06,50,0.5941224,0.7453912
10.0,10.0,DeepLabV3Plus,resnet34,imagenet,1,1,Adam,0.0001,1e-05,50,0.64562196,0.7846541
11.0,11.0,DeepLabV3Plus,resnet34,imagenet,1,1,Adam,0.0005,1e-06,50,0.5976409,0.7481542
12.0,12.0,DeepLabV3Plus,resnet34,imagenet,1,1,Adam,0.0001,1e-06,15,0.6799505,0.8094887
13.0,13.0,DeepLabV3Plus,resnet34,imagenet,1,1,Adam,0.0005,1e-06,10,0.54718363,0.7073286
14.0,14.0,DeepLabV3Plus,resnet18,imagenet,1,1,AdamW,0.0005,5e-05,50,0.6547785,0.79137903
15.0,0.0,DeepLabV3Plus,resnet18,imagenet,1,1,AdamW,0.0002,2e-05,50,0.66133577,0.79614943
0.0,,DeepLabV3Plus,resnet34,imagenet,1,1,AdamW,0.0005,5e-05,100,0.55191576,0.7112703
,,DeepLabV3Plus,resnet34,imagenet,1,1,AdamW,0.001,0.0001,100,0.46919617,0.6387114
,,DeepLabV3Plus,resnet34,imagenet,1,1,AdamW,0.001,0.0001,100,0.50817156,0.67389095
,,DeepLabV3Plus,resnet34,imagenet,1,1,AdamW,0.0005,5e-05,100,0.6069139,0.75537825
,,DeepLabV3Plus,resnet18,imagenet,1,1,AdamW,0.001,5e-05,100,0.5642648,0.7214441
